# Data from Markov  N. T. et al (2014). Anatomy of hierarchy: feedforward and feedback pathways in macaque visual cortex. The Journal of Comparative Neurology  522(1)  225–59. https://doi.org/10.1002/cne.23458

INDEX TO FROM S I TOT DIST DENS Monkey lFLN SLN INJ FLN cSLN
470 V1 V3 0 136 136 4.5 None M88RH -3.6338225 0 V1.M88RH 0.00373462 -0.5
471 V1 V3A 0 190 190 10.5 None M88RH -3.4886078 0 V1.M88RH 0.00521748 -0.5
472 V1 V4 388 2218 2606 14.8 None M88RH -2.351387 0.14888718 V1.M88RH 0.07156195 -0.3511128
475 V1 LIP 0 56 56 22.7 None M88RH -4.0191734 0 V1.M88RH 0.00153778 -0.5
477 V1 DP 0 29 29 16.5 None M88RH -4.3049634 0 V1.M88RH 0.00079635 -0.5
479 V1 STPc 3 62 65 29.5 None M88RH -3.9544481 0.04615384 V1.M88RH 0.00178492 -0.4538461
483 V1 FST 0 368 368 16.7 None M88RH -3.2015136 0 V1.M88RH 0.01010544 -0.5
484 V1 MST 0 251 251 23.2 None M88RH -3.3676877 0 V1.M88RH 0.00689257 -0.5
485 V1 MT 279 2571 2850 12.5 None M88RH -2.3125165 0.09789473 V1.M88RH 0.0782623 -0.4021052
486 V1 TEO 24 911 935 14.9 None M88RH -2.7965498 0.02566844 V1.M88RH 0.02567552 -0.4743315
491 V1 TEpd 0 224 224 25.5 None M88RH -3.4171134 0 V1.M88RH 0.00615114 -0.5
495 V1 TH/TF 0 228 228 24.4 None M88RH -3.4094266 0 V1.M88RH 0.00626098 -0.5
500 V1 8l 0 6 6 45.6 None M88RH -4.9892102 0 V1.M88RH 0.00016476 -0.5
501 V1 V2 65943 75360 141303 9.3 None M85RH -0.61721 0.46667798 V1.M85RH 0.70805501 -0.033322
502 V1 V3 68 1293 1361 4.5 None M85RH -2.6335033 0.04996326 V1.M85RH 0.00681983 -0.4500367
503 V1 V3A 2 312 314 10.5 None M85RH -3.2704318 0.00636942 V1.M85RH 0.00157342 -0.4936305
504 V1 V4 11402 18726 30128 14.8 None M85RH -1.2883911 0.37845193 V1.M85RH 0.15096835 -0.121548
506 V1 LIP 0 190 190 22.7 None M85RH -3.4886078 0 V1.M85RH 0.00095207 -0.5
508 V1 DP 2 99 101 16.5 None M85RH -3.76304 0.01980198 V1.M85RH 0.0005061 -0.480198
511 V1 STPc 34 353 387 29.5 None M85RH -3.1796504 0.08785529 V1.M85RH 0.00193921 -0.4121447
514 V1 FST 92 1640 1732 16.7 None M85RH -2.5288135 0.05311778 V1.M85RH 0.00867887 -0.4468822
515 V1 MST 36 1262 1298 23.2 None M85RH -2.6540867 0.02773497 V1.M85RH 0.00650414 -0.472265
516 V1 MT 2572 7872 10444 12.5 None M85RH -1.7484945 0.24626579 V1.M85RH 0.05233382 -0.2537342
517 V1 TEO 933 6689 7622 14.9 None M85RH -1.8852925 0.12240881 V1.M85RH 0.03819306 -0.3775911
522 V1 TEpd 13 800 813 25.5 None M85RH -2.8572709 0.01599015 V1.M85RH 0.00407386 -0.4840098
526 V1 TH/TF 9 685 694 24.4 None M85RH -2.9260019 0.01296829 V1.M85RH 0.00347756 -0.4870317
531 V1 8l 16 49 65 45.6 None M85RH -3.9544481 0.24615384 V1.M85RH 0.0003257 -0.2538461
532 V1 V2 51822 53242 105064 9.3 None M85LH -0.7459075 0.49324221 V1.M85LH 0.75233798 -0.0067577
533 V1 V3 26 847 873 4.5 None M85LH -2.8263472 0.02978235 V1.M85LH 0.00625134 -0.4702176
534 V1 V3A 0 186 186 10.5 None M85LH -3.4978485 0 V1.M85LH 0.0013319 -0.5
535 V1 V4 4851 8410 13261 14.8 None M85LH -1.6447851 0.36580951 V1.M85LH 0.09495882 -0.1341904
537 V1 LIP 0 125 125 22.7 None M85LH -3.6704514 0 V1.M85LH 0.00089509 -0.5
539 V1 DP 0 110 110 16.5 None M85LH -3.7259687 0 V1.M85LH 0.00078768 -0.5
542 V1 STPc 5 236 241 29.5 None M85LH -3.3853444 0.02074688 V1.M85LH 0.00172574 -0.4792531
545 V1 FST 15 1057 1072 16.7 None M85LH -2.7371666 0.01399253 V1.M85LH 0.00767633 -0.4860074
546 V1 MST 10 604 614 23.2 None M85LH -2.979193 0.01628664 V1.M85LH 0.0043967 -0.4837133
547 V1 MT 2242 5040 7282 12.5 None M85LH -1.9051107 0.30788244 V1.M85LH 0.05214464 -0.1921175
548 V1 TEO 784 4649 5433 14.9 None M85LH -2.0323217 0.14430333 V1.M85LH 0.0389044 -0.3556966
553 V1 TEpd 14 685 699 25.5 None M85LH -2.9228842 0.02002861 V1.M85LH 0.00500537 -0.4799713
557 V1 TH/TF 12 720 732 24.4 None M85LH -2.9028503 0.01639344 V1.M85LH 0.00524167 -0.4836065
560 V1 8l 2 15 17 45.6 None M85LH -4.5369125 0.11764705 V1.M85LH 0.00012173 -0.3823529
561 V1 V2 29516 56616 86132 9.3 None M81LH -0.8321969 0.34268332 V1.M81LH 0.76599907 -0.1573166
562 V1 V3 7 922 929 4.5 None M81LH -2.7993457 0.00753498 V1.M81LH 0.00826189 -0.492465
563 V1 V3A 0 163 163 10.5 None M81LH -3.5551738 0 V1.M81LH 0.00144961 -0.5
564 V1 V4 1737 11434 13171 14.8 None M81LH -1.6477427 0.13188064 V1.M81LH 0.11713386 -0.3681193
566 V1 LIP 1 127 128 22.7 None M81LH -3.6601514 0.0078125 V1.M81LH 0.00113834 -0.4921875
568 V1 DP 0 20 20 16.5 None M81LH -4.4663314 0 V1.M81LH 0.00017786 -0.5
571 V1 STPc 0 141 141 29.5 None M81LH -3.6181423 0 V1.M81LH 0.00125395 -0.5
574 V1 FST 2 498 500 16.7 None M81LH -3.0683914 0.004 V1.M81LH 0.00444665 -0.496
575 V1 MST 0 1480 1480 23.2 None M81LH -2.5970997 0 V1.M81LH 0.0131621 -0.5
576 V1 MT 496 6194 6690 12.5 None M81LH -1.9419353 0.0741405 V1.M81LH 0.05949628 -0.4258594
577 V1 TEO 0 846 846 14.9 None M81LH -2.839991 0 V1.M81LH 0.00752374 -0.5
582 V1 TEpd 2 181 183 25.5 None M81LH -3.5049103 0.01092896 V1.M81LH 0.00162747 -0.489071
586 V1 TH/TF 0 396 396 24.4 None M81LH -3.1696662 0 V1.M81LH 0.00352175 -0.5
590 V1 8l 2 14 16 45.6 None M81LH -4.5632414 0.125 V1.M81LH 0.00014229 -0.375
592 V1 V2 32247 34144 66391 9.3 None M121RH -0.9452522 0.48571342 V1.M121RH 0.68302092 -0.0142865
593 V1 V3 228 692 920 4.5 None M121RH -2.8035736 0.24782608 V1.M121RH 0.00946482 -0.2521739
594 V1 V3A 2 128 130 10.5 None M121RH -3.6534181 0.01538461 V1.M121RH 0.00133742 -0.4846153
595 V1 V4 9075 10757 19832 14.8 None M121RH -1.4699949 0.45759378 V1.M121RH 0.20402872 -0.0424062
597 V1 LIP 7 179 186 22.7 None M121RH -3.4978485 0.0376344 V1.M121RH 0.00191354 -0.4623655
599 V1 DP 0 18 18 16.5 None M121RH -4.5120889 0 V1.M121RH 0.00018518 -0.5
601 V1 STPc 4 148 152 29.5 None M121RH -3.5855178 0.02631578 V1.M121RH 0.00156375 -0.4736842
604 V1 FST 22 634 656 16.7 None M121RH -2.9504576 0.03353658 V1.M121RH 0.00674883 -0.4664634
605 V1 MST 0 186 186 23.2 None M121RH -3.4978485 0 V1.M121RH 0.00191354 -0.5
606 V1 MT 708 4349 5057 12.5 None M121RH -2.0634685 0.14000395 V1.M121RH 0.05202567 -0.359996
607 V1 TEO 454 1964 2418 14.9 None M121RH -2.3839051 0.18775847 V1.M121RH 0.02487603 -0.3122415
612 V1 TEpd 7 119 126 25.5 None M121RH -3.6669909 0.05555555 V1.M121RH 0.00129626 -0.4444444
616 V1 TH/TF 0 132 132 24.4 None M121RH -3.6467875 0 V1.M121RH 0.00135799 -0.5
618 V1 8l 1 30 31 45.6 None M121RH -4.2759997 0.03225806 V1.M121RH 0.00031892 -0.4677419
619 V2 V1 182752 79527 262279 9.3 None M101LH -0.478742 0.69678472 V2.M101LH 0.73252878 0.19678472
620 V2 V3 4414 9887 14301 10.2 None M101LH -1.7421391 0.30864974 V2.M101LH 0.03994179 -0.1913502
621 V2 V3A 0 399 399 14.9 None M101LH -3.2965326 0 V2.M101LH 0.00111438 -0.5
622 V2 V4 18399 43858 62257 9.4 None M101LH -1.1033173 0.29553303 V2.M101LH 0.17387989 -0.2044669
624 V2 LIP 8 307 315 21.4 None M101LH -3.399195 0.02539682 V2.M101LH 0.00087977 -0.4746031
627 V2 DP 2 142 144 21.6 None M101LH -3.739143 0.01388888 V2.M101LH 0.00040218 -0.4861111
630 V2 STPc 0 34 34 28.2 None M101LH -4.3660266 0 V2.M101LH 9.49598654 -0.5
634 V2 FST 40 767 807 16.2 None M101LH -2.990632 0.04956629 V2.M101LH 0.0022539 -0.4504337
635 V2 MST 5 276 281 23.4 None M101LH -3.4487992 0.01779359 V2.M101LH 0.00078481 -0.4822064
636 V2 MT 3918 9156 13074 13.6 None M101LH -1.7810971 0.29967875 V2.M101LH 0.03651486 -0.2003212
637 V2 TEO 46 1291 1337 12.2 None M101LH -2.7713741 0.03440538 V2.M101LH 0.00373415 -0.4655946
642 V2 TEpd 4 281 285 19.8 None M101LH -3.4426607 0.01403508 V2.M101LH 0.00079598 -0.4859649
646 V2 TH/TF 5 700 705 19 None M101LH -3.0493164 0.00709219 V2.M101LH 0.00196902 -0.4929078
648 V2 8l 4 28 32 40.2 None M101LH -4.3923556 0.125 V2.M101LH 8.9373991 -0.375
649 V2 8m 0 6 6 40.3 None M101LH -5.1193543 0 V2.M101LH 1.67576233 -0.5
650 V2 V1 143448 47865 191313 9.3 None M101RH -0.615761 0.7498079 V2.M101RH 0.78266472 0.2498079
651 V2 V3 3159 7431 10590 10.2 None M101RH -1.8726096 0.29830028 V2.M101RH 0.04332386 -0.2016997
652 V2 V3A 65 853 918 14.9 None M101RH -2.9346629 0.0708061 V2.M101RH 0.00375555 -0.4291938
653 V2 V4 3871 23048 26919 9.4 None M101RH -1.4674466 0.14380177 V2.M101RH 0.11012608 -0.3561982
655 V2 LIP 17 346 363 21.4 None M101RH -3.3375989 0.04683195 V2.M101RH 0.00148503 -0.453168
658 V2 DP 2 202 204 21.6 None M101RH -3.5878754 0.00980392 V2.M101RH 0.00083456 -0.490196
661 V2 STPc 0 20 20 28.2 None M101RH -4.5964755 0 V2.M101RH 8.18203388 -0.5
664 V2 FST 47 535 582 16.2 None M101RH -3.1325825 0.08075601 V2.M101RH 0.00238097 -0.4192439
665 V2 MST 5 290 295 23.4 None M101RH -3.4276835 0.01694915 V2.M101RH 0.00120684 -0.4830508
666 V2 MT 2734 7239 9973 13.6 None M101RH -1.8986797 0.27414017 V2.M101RH 0.04079971 -0.2258598
667 V2 TEO 94 1128 1222 12.2 None M101RH -2.8104343 0.07692307 V2.M101RH 0.00499922 -0.4230769
672 V2 TEpd 6 142 148 19.8 None M101RH -3.7272438 0.04054054 V2.M101RH 0.00060547 -0.4594594
676 V2 TH/TF 5 548 553 19 None M101RH -3.1547804 0.00904159 V2.M101RH 0.00226233 -0.4909584
678 V2 8l 12 16 28 40.2 None M101RH -4.4503475 0.42857142 V2.M101RH 0.00011454 -0.0714285
679 V2 8m 0 14 14 40.3 None M101RH -4.7513775 0 V2.M101RH 5.72742372 -0.5
680 V2 V1 110574 34672 145246 9.3 None M103LH -0.7354014 0.76128774 V2.M103LH 0.7754932 0.26128774
681 V2 V3 699 1258 1957 10.2 None M103LH -2.6059147 0.35717935 V2.M103LH 0.01044875 -0.1428206
682 V2 V3A 2 171 173 14.9 None M103LH -3.6594594 0.01156069 V2.M103LH 0.00092367 -0.4884393
683 V2 V4 10318 21520 31838 9.4 None M103LH -1.3945598 0.32407814 V2.M103LH 0.16998852 -0.1759218
685 V2 LIP 7 86 93 21.4 None M103LH -3.9290226 0.07526881 V2.M103LH 0.00049654 -0.4247311
688 V2 DP 1 4 5 21.6 None M103LH -5.1985355 0.2 V2.M103LH 2.66958541 -0.3
693 V2 STPc 0 16 16 28.2 None M103LH -4.6933855 0 V2.M103LH 8.54267332 -0.5
696 V2 FST 24 272 296 16.2 None M103LH -3.4262138 0.08108108 V2.M103LH 0.00158039 -0.4189189
697 V2 MST 1 45 46 23.4 None M103LH -4.2347477 0.02173913 V2.M103LH 0.0002456 -0.4782608
698 V2 MT 1299 4297 5596 13.6 None M103LH -2.1496278 0.23213009 V2.M103LH 0.02987799 -0.2678699
